Timestamp,Interface,Protocol,Direction,Message Name,Additional Info
6/5/2023 8:57:52.926 PM,NR-Uu,NR-RRC,UE → gNB,NR5G RRC Reconfiguration Complete,
6/5/2023 8:57:52.926 PM,NAS,5GMM,AMF → UE,NR5G DL NAS Transport,
6/5/2023 8:57:52.926 PM,NAS,5GSM,SMF → UE,NR5G PDU Session Establishment Accept,
6/5/2023 8:57:52.926 PM,,,Event,NR DRB Setup,Drb-Identity = 1
6/5/2023 8:57:52.926 PM,,,Event,NR EventA3 Report Configuration,Report Config: 1 Meas ID: 1
"6/5/2023 8:57:53.000 PM,N/A,GPS,N/A,GPS,""Long: -84.140282, Lat: 33.896221; Heading: 89.99999; Speed: 10; Satellites: N/A; BarometricAltitude: N/A;"""
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR Searcher Measurement Result,
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR BRS Measurement Result for PCell SSB,
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR Tx Power Control Information for PCell,
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR Channel State Factor PCell,
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR PDSCH Information for PCell,
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR PUSCH Information for PCell,
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR DCI Count Information for PCell,
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR Physical & Mac Layer Throughput Information PCell,
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR DL RLC Throughput Information,
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR PDCP Throughput Information DL,
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR UL Physical Throughput Information PCell,
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR PDCP Throughput Information UL,
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR UL RLC Throughput Information,
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR ENDC TxPwr,
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR AFCSNR P,
6/5/2023 8:57:53.000 PM,N/A,NR5G L1,N/A,QC5GNR SSB and TRS SNR information for pcell,
